publicacion,autor,descripcion
Volkswagen se plantea cerrar fábricas en Alemania por primera vez en su historia,Manu Granda / Bloomberg|02 sept 2024 - 18:00 CEST,El grupo alemán busca reducir costes por el paso al vehículo eléctrico y la fuerte competencia proveniente de países como China
Las cerveceras doblan su oferta sin alcohol en 10 años y aúpan sus ventas a niveles récord,Javier García Ropero|02 sept 2024 - 05:15 CEST,"En 2023, este segmento mejoró un 3% su volumen de ventas frente a la contracción generalizada del sector"
